Epoch 1/30 | Train Loss: 1.1540 | Train Acc: 0.6480 | Test Loss: 0.8882 | Test Acc: 0.7069
Epoch 2/30 | Train Loss: 0.7532 | Train Acc: 0.7664 | Test Loss: 0.6766 | Test Acc: 0.7976
Epoch 3/30 | Train Loss: 0.6395 | Train Acc: 0.8033 | Test Loss: 0.6826 | Test Acc: 0.8051
Epoch 4/30 | Train Loss: 0.5524 | Train Acc: 0.8292 | Test Loss: 0.4525 | Test Acc: 0.8603
Epoch 5/30 | Train Loss: 0.5375 | Train Acc: 0.8338 | Test Loss: 0.4217 | Test Acc: 0.8792
Epoch 6/30 | Train Loss: 0.5175 | Train Acc: 0.8433 | Test Loss: 0.4915 | Test Acc: 0.8557
Epoch 7/30 | Train Loss: 0.4856 | Train Acc: 0.8488 | Test Loss: 0.3937 | Test Acc: 0.8724
Epoch 8/30 | Train Loss: 0.4614 | Train Acc: 0.8566 | Test Loss: 0.6772 | Test Acc: 0.8195
Epoch 9/30 | Train Loss: 0.4704 | Train Acc: 0.8571 | Test Loss: 0.5573 | Test Acc: 0.8346
Epoch 10/30 | Train Loss: 0.4441 | Train Acc: 0.8597 | Test Loss: 0.4702 | Test Acc: 0.8444
Epoch 11/30 | Train Loss: 0.4396 | Train Acc: 0.8671 | Test Loss: 0.4895 | Test Acc: 0.8610
Epoch 12/30 | Train Loss: 0.2979 | Train Acc: 0.9073 | Test Loss: 0.2403 | Test Acc: 0.9260
Epoch 13/30 | Train Loss: 0.2785 | Train Acc: 0.9125 | Test Loss: 0.2897 | Test Acc: 0.9131
Epoch 14/30 | Train Loss: 0.2818 | Train Acc: 0.9153 | Test Loss: 0.2926 | Test Acc: 0.9116
Epoch 15/30 | Train Loss: 0.2671 | Train Acc: 0.9171 | Test Loss: 0.3078 | Test Acc: 0.9048
Epoch 16/30 | Train Loss: 0.2720 | Train Acc: 0.9158 | Test Loss: 0.3236 | Test Acc: 0.9147
Epoch 17/30 | Train Loss: 0.2149 | Train Acc: 0.9326 | Test Loss: 0.2340 | Test Acc: 0.9373
Epoch 18/30 | Train Loss: 0.1797 | Train Acc: 0.9425 | Test Loss: 0.2159 | Test Acc: 0.9403
Epoch 19/30 | Train Loss: 0.1781 | Train Acc: 0.9442 | Test Loss: 0.2244 | Test Acc: 0.9328
Epoch 20/30 | Train Loss: 0.1763 | Train Acc: 0.9457 | Test Loss: 0.2207 | Test Acc: 0.9358
Epoch 21/30 | Train Loss: 0.1715 | Train Acc: 0.9478 | Test Loss: 0.2286 | Test Acc: 0.9388
Epoch 22/30 | Train Loss: 0.1810 | Train Acc: 0.9449 | Test Loss: 0.2281 | Test Acc: 0.9373
Epoch 23/30 | Train Loss: 0.1525 | Train Acc: 0.9541 | Test Loss: 0.2019 | Test Acc: 0.9441
Epoch 24/30 | Train Loss: 0.1459 | Train Acc: 0.9553 | Test Loss: 0.2018 | Test Acc: 0.9434
Epoch 25/30 | Train Loss: 0.1325 | Train Acc: 0.9604 | Test Loss: 0.1752 | Test Acc: 0.9524
Epoch 26/30 | Train Loss: 0.1321 | Train Acc: 0.9611 | Test Loss: 0.1916 | Test Acc: 0.9479
Epoch 27/30 | Train Loss: 0.1370 | Train Acc: 0.9597 | Test Loss: 0.1932 | Test Acc: 0.9411
Epoch 28/30 | Train Loss: 0.1273 | Train Acc: 0.9625 | Test Loss: 0.1680 | Test Acc: 0.9547
Epoch 29/30 | Train Loss: 0.1272 | Train Acc: 0.9623 | Test Loss: 0.1979 | Test Acc: 0.9486
Epoch 30/30 | Train Loss: 0.1275 | Train Acc: 0.9606 | Test Loss: 0.2038 | Test Acc: 0.9411
